Report generated on: 07-31-2020 08:32:12
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","electricity net consumption (billion kWh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-2-BWA-BKWH.A","        Botswana","0.41199","0.47686","0.53677","0.56362","0.59985","0.64708","0.74034","0.85878","0.816","0.80621","0.87636","0.92347","1.09184","1.11411","1.28092","1.31371","1.39087","1.5571","1.571","1.749","1.712","2.022","2.198","2.365","2.479","2.576","2.663","2.754","2.953","2.829","3.152","3.154","3.208","3.348","3.604","3.729","3.636","3.207","NA"
"INTL.2-2-BRA-BKWH.A","        Brazil","121.784","124.158","131.691","145.445","161.919","171.045","186.48","190.476","200.763","208.728","212.645","222.445","228.109","239.094","247.991","261.51","277.744","290.868","302.906","310.619","321.998","304.483","318.977","336.869","353.294","367.883","382.539","404.1672","419.8082","418.5382","455.649","471.282","488.375","504.342","517.646","509.996","509.079","516.215","NA"
"INTL.2-2-VGB-BKWH.A","        British Virgin Islands","0.02046","0.02232","0.02325","0.02232","0.02511","0.02697","0.03069","0.03441","0.0372","0.03813","0.03906","0.03906","0.03906","0.03906","0.03906","0.03906","0.03906","0.03906","0.03906","0.03906","0.0372","0.03534","0.03534","0.03906","0.03906","0.08649","0.093","0.09672","0.10788","0.1395","0.172143","0.168423","0.173073","0.173073","0.173073","0.174189","0.176049","0.177909","NA"
"INTL.2-2-BRN-BKWH.A","        Brunei","0.424","0.459","0.51","0.653","0.749","0.819","0.867","0.892","0.998","1.038","1.11","1.178","1.237","1.39","1.515","1.779","1.953","2.234","2.324","2.26","2.361","2.117","2.199","2.608","2.946","2.894","2.924","3.026","3.054","3.177","3.196","3.233","3.451","3.729","3.947","3.679","3.771","3.427","NA"
"INTL.2-2-BGR-BKWH.A","        Bulgaria","33.232","34.575","36.871","38.5","40.173","39.663","39.141","40.877","41.992","42.68","38.786","33.505","29.857","30.235","30.275","33.218","34.733","30.066","30.012","27.362","27.408","27.331","28.279","28.013","27.829","28.781","30.038","31.085","31.711","30.047","30.208","31.723","31.191","30.429","30.864","31.909","32.34","33.574","NA"
"INTL.2-2-BFA-BKWH.A","        Burkina Faso","0.09114","0.10044","0.10695","0.10881","0.10509","0.10695","0.11346","0.12369","0.13299","0.14229","0.16182","0.16926","0.1767","0.19065","0.19158","0.21576","0.24459","0.26226","0.29016","0.32364","0.29574","0.37011","0.44945","0.48285","0.53496","0.57977","0.6226","0.66433","0.68377","0.76252","0.88999","0.99534","1.10462","1.221223","1.307516","1.383695","1.55163","1.68288","NA"
"INTL.2-2-MMR-BKWH.A","        Burma","1.11","1.022","1.102","1.139","1.246","1.514","1.538","1.571","1.417","1.546","1.734","1.614","1.771","2.055","2.207","2.349","2.407","2.719","2.759","2.919","3.303","3.039","3.619","4.029","3.93","3.455","4.154","4.238","4.509","4.84","6.0956","7.661","7.772","9.328","10.862","12.95","12.601","17.517","NA"
"INTL.2-2-BDI-BKWH.A","        Burundi","0.04179","0.04472","0.04072","0.05925","0.07313","0.08571","0.08366","0.10035","0.10872","0.10879","0.11737","0.12716","0.12158","0.1373","0.15088","0.13967","0.14474","0.14753","0.13223","0.12707","0.123","0.14288","0.15404","0.14686","0.14856","0.16121","0.16242","0.18674","0.18109","0.20546","0.233477","0.23571","0.2385","0.25831","0.25926","0.25782","0.26554","0.3096","NA"
"INTL.2-2-CPV-BKWH.A","        Cabo Verde","0.01395","0.01395","0.01953","0.02046","0.02418","0.02511","0.02604","0.02883","0.03069","0.03069","0.03627","0.0465","0.05301","0.06138","0.06975","0.07254","0.07719","0.08184","0.08928","0.1023","0.12834","0.14415","0.15903","0.17391","0.19158","0.20646","0.21948","0.23529","0.2511","0.26133","0.30225","0.32178","0.33387","0.35805","0.37944","0.37293","0.39339","0.41664","NA"
"INTL.2-2-KHM-BKWH.A","        Cambodia","0.08928","0.09579","0.09951","0.09393","0.08928","0.09858","0.10695","0.11625","0.12555","0.13299","0.14229","0.14694","0.15438","0.15996","0.16647","0.206","0.238","0.25","0.275","0.284","0.382","0.387","0.597","0.641","0.617","0.832","1.021","1.291","1.506","1.7313","2.0143","2.3483","3.2173","3.5063","4.0583","4.9523","6.0393","6.8673","NA"
"INTL.2-2-CMR-BKWH.A","        Cameroon","1.325","1.737","2.009","1.952","1.972","2.193","2.044","2.082","2.253","2.364","2.323","2.334","2.318","2.324","2.231","2.203","2.341","2.483","2.505","2.645","2.683","2.593","2.498","2.763","3.27","3.254","4.404","4.636","5.019","5.101","5.182","4.701","4.909","5.118","5.364","6.091","6.662","6.654","NA"
"INTL.2-2-CAN-BKWH.A","        Canada","309.48","319.06","319.166","331.646","356.708","372.372","389.389","405.234","422.241","434.636","433.832","439.869","444.722","455.058","459.639","466.696","473.651","482.485","479.434","490.032","505.224","505.602","513.183","528.23","534.064","531.039","522.313","535.403","529.792","510.519","513.069","525.968","519.187","534.723","536.516","522.958","521.386","509.261","NA"
"INTL.2-2-CYM-BKWH.A","        Cayman Islands","0.05394","0.06138","0.07254","0.08277","0.09672","0.10881","0.11997","0.14043","0.15531","0.17019","0.19716","0.2046","0.20553","0.22041","0.24924","0.25947","0.26133","0.26226","0.26412","0.2883","0.37014","0.39525","0.41664","0.43059","0.45198","0.36642","0.45198","0.50778","0.529","0.548","0.541","0.541","0.548","0.556","0.568","0.586","0.614","0.628","NA"
"INTL.2-2-CAF-BKWH.A","        Central African Republic","0.06231","0.06138","0.0651","0.06324","0.06696","0.07161","0.08649","0.08463","0.08556","0.08556","0.08649","0.08556","0.08742","0.08835","0.09207","0.093","0.09486","0.09672","0.09486","0.09579","0.09765","0.09858","0.09858","0.09951","0.13857","0.14787","0.15438","0.1488","0.1488","0.14787","0.147963","0.159309","0.162192","0.128712","0.157542","0.157542","0.158472","0.140802","NA"
"INTL.2-2-TCD-BKWH.A","        Chad","0.04092","0.04464","0.04557","0.04464","0.04557","0.04743","0.06045","0.07347","0.07068","0.07161","0.07905","0.07626","0.07347","0.07533","0.0744","0.07812","0.07905","0.07905","0.07998","0.07998","0.07998","0.08742","0.09393","0.10044","0.10695","0.11253","0.11346","0.11253","0.13113","0.15996","0.17484","0.19065","0.17949","0.197253","0.197253","0.199299","0.209529","0.213249","NA"
"INTL.2-2-CHL-BKWH.A","        Chile","10.41","10.75","10.551","10.771","11.62","12.076","12.926","13.257","14.277","15.501","18.341","18.224","19.224","19.666","21.258","25.635","28.059","30.687","31.643","34.86","38.144","39.374","41.383","44.063","47.226","48.379","50.925","53.011","53.592","53.457","54.075","59.304","63.411","65.141","63.404","68.625","73.216","72.03","NA"
"INTL.2-2-CHN-BKWH.A","        China","261.492","268.754","285.858","307.606","330.13","351.318","385.299","425.192","466.479","498.708","549.342","597.204","666.142","738.807","818.535","876.577","920.966","983.495","1017.457","1076.767","1178.033","1314.783","1459.429","1676.829","1955.39","2196.172","2523.947","2891.542","3070.881","3290.14","3713.682","4178.892","4435.149","4845.358","5066.514","5251.246","5564.748","5934.792","NA"
"INTL.2-2-COL-BKWH.A","        Colombia","16.385","16.697","22.257","22.931","25.177","25.439","28.302","23.559","25.427","27.079","28.171","28.782","26.624","29.652","32.026","33.461","34.127","34.837","34.123","32.625","32.586","33.877","34.726","35.416","37.44","37.786","40.489","42.21","42.764","46.391","48.109","50.953","52.678","65.532","62.693","68.413","68.105","67.864","NA"
"INTL.2-2-COM-BKWH.A","        Comoros","0.00837","0.0093","0.0093","0.01023","0.01116","0.01302","0.01302","0.01302","0.01302","0.01488","0.01395","0.01395","0.01395","0.01395","0.01395","0.01395","0.01488","0.01488","0.01581","0.01581","0.01767","0.02604","0.02883","0.03069","0.03906","0.04185","0.04464","0.04092","0.03999","0.03813","0.04185","0.05487","0.05394","0.05115","0.04743","0.03813","0.03906","0.037572","NA"
"INTL.2-2-COG-BKWH.A","        Congo-Brazzaville","0.144","0.156","0.2","0.192","0.294","0.228","0.369","0.387","0.372","0.386","0.405","0.462","0.44","0.355","0.351","0.355","0.449","0.447","0.324","0.361","0.294","0.287","0.414","0.385","0.363","0.416","0.462","0.479","0.566","0.584","0.575","0.6111","0.9151","0.8783","0.8523","1.361","1.438","1.976","NA"
"INTL.2-2-COD-BKWH.A","        Congo-Kinshasa","3.921","3.614","3.561","3.864","4.057","4.366","4.559","4.534","4.672","4.829","4.42","4.384","4.207","3.926","4.031","4.479","4.676","4.386","4.141","4.357","4.539","4.567","4.414","4.577","4.609","4.828","5.678","6.068","6.036","6.589","6.674","7.128","7.6831","8.289","7.936","7.202","7.432","8.588","NA"
"INTL.2-2-COK-BKWH.A","        Cook Islands","0.0093","0.01023","0.0093","0.00837","0.0093","0.01023","0.01116","0.01209","0.01209","0.01302","0.01395","0.01395","0.01395","0.01395","0.01395","0.01767","0.01767","0.01767","0.01767","0.01953","0.02232","0.02232","0.02418","0.02511","0.02511","0.025203","0.027993","0.028923","0.029853","0.028923","0.029853","0.029853","0.027993","0.028644","0.02976","0.03162","0.03348","0.03441","NA"
"INTL.2-2-CRI-BKWH.A","        Costa Rica","1.879","2.133","2.05","2.201","2.362","2.547","2.738","3.099","3.039","3.177","3.305","3.553","4.204","4.529","4.771","4.28","4.494","5.029","4.84","5.517","5.9","6.129","6.261","6.583","6.844","7.273","7.809","8.185","8.317","8.243","8.532","8.608","8.987","9.058","9.185","9.458","9.812","9.933","NA"
"INTL.2-2-HRV-BKWH.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","9.991","9.858","10.092","10.448","10.11","11.507","12.963","12.179","12.184","12.345","12.741","12.838","13.515","14.235","14.975","15.453","16.006","15.219","16.275","16.105","15.7","15.463","15.275","15.87","15.922","16.551","NA"
"INTL.2-2-CUB-BKWH.A","        Cuba","9.493","9.973","10.316","10.443","11.06","10.891","11.754","12.036","12.767","13.245","12.316","10.361","10.341","9.278","9.245","9.437","10.1","10.747","10.751","11.323","11.821","12.069","12.394","12.503","12.338","12.1171","12.8611","13.6301","13.8611","13.9711","13.618","13.943","14.459","15.095","15.29","15.983","16.16","16.193","NA"
"INTL.2-2-CYP-BKWH.A","        Cyprus","0.904","0.923","0.99","1.076","1.1","1.164","1.249","1.331","1.461","1.627","1.746","1.818","2.102","2.296","2.395","2.21","2.288","2.375","2.601","2.755","2.98","3.105","3.391","3.65","3.735","3.95","4.152","4.364","4.622","4.667","4.786","4.484","4.312","3.868","3.929","4.069","4.355","4.502","NA"
"INTL.2-2-CZE-BKWH.A","        Czech Republic","--","--","--","--","--","--","--","--","--","--","--","--","--","48.632","50.371","53.15","55.006","54.89","53.983","52.193","53.637","55.481","55.418","56.762","58.182","59.308","61.081","61.489","62.174","58.806","61.033","60.396","60.467","60.162","60.18","61.322","62.333","63.611","NA"
"INTL.2-2-CIV-BKWH.A","        Côte d’Ivoire","1.433","1.573","1.607","1.683","1.319","1.68","1.719","2.021","1.863","2.092","1.857","1.463","1.293","1.758","2.014","2.519","2.279","2.459","2.724","2.629","2.663","2.868","2.813","2.856","2.884","2.8921","3.1512","3.3462","3.5902","3.7815","4.144","3.869","4.733","4.777","5.828","5.673","6.257","6.248","NA"
"INTL.2-2-DNK-BKWH.A","        Denmark","21.959","22.198","22.614","22.801","22.523","23.927","26.777","27.795","27.761","28.361","28.868","29.92","30.492","30.788","31.391","31.453","31.911","32.452","32.281","32.573","32.782","32.887","33.2","33.327","33.928","34.551","34.973","34.726","34.356","32.82","33.562","33.132","32.857","32.828","32.258","32.526","33.036","33.423","NA"
"INTL.2-2-DJI-BKWH.A","        Djibouti","0.1023","0.10695","0.11439","0.12927","0.12741","0.14322","0.1488","0.14973","0.15252","0.15345","0.15624","0.15717","0.15717","0.15903","0.15903","0.16089","0.16182","0.16368","0.16368","0.16368","0.1674","0.16647","0.17484","0.17484","0.18786","0.2232","0.24459","0.28272","0.29667","0.30504","0.33108","0.33852","0.341775","0.352005","0.352005","0.352005","0.352005","0.353865","NA"
"INTL.2-2-DMA-BKWH.A","        Dominica","0.01023","0.01116","0.01023","0.01674","0.02232","0.02232","0.02418","0.02511","0.02604","0.02697","0.02697","0.0279","0.0279","0.0279","0.03069","0.04092","0.03906","0.0465","0.05766","0.06603","0.06882","0.07254","0.06603","0.07068","0.07068","0.073656","0.075516","0.076539","0.077469","0.083142","0.088722","0.091512","0.090582","0.090582","0.091512","0.096162","0.100812","0.077562","NA"
"INTL.2-2-DOM-BKWH.A","        Dominican Republic","2.514","2.961","2.35","2.344","3.18","3.174","3.526","3.085","3.272","2.379","2.59","2.713","2.412","3.706","3.234","3.627","4.734","4.802","5.175","6.461","5.787","8.496","8.73","9.195","7.953","10.523","11.46","11.992","9.957","9.872","12.019","12.891","13.615","14.507","14.122","14.641","15.28","15.572","NA"
"INTL.2-2-ECU-BKWH.A","        Ecuador","2.7","3.01","3.16","3.338","3.218","3.752","4.069","4.176","4.271","4.322","4.784","5.163","5.404","5.51","6.027","6.077","6.921","6.852","7.368","7.639","7.815","8.047","8.264","8.61","10.449","10.472","12.179","13.834","15.109","15.685","16.358","17.817","19.02","20.015","21.076","22.091","22.685","24.895","NA"
